DateUTC,MeasureItem,TimeFrom,TimeTo,Value,Hour,DayofWeek,Month,isHoliday?,WindSpeed,Temperature,PrecipitationAmount,PrecipitationDuration,GlobalRadiation,AirPressure,CloudCover
2021-01-01 00:00:00,Monthly Hourly Load Values,00:00:00,01:00:00,11313.1375,0,4,1,1,10,-25,0,0,0.0,10059,0
2021-01-01 01:00:00,Monthly Hourly Load Values,01:00:00,02:00:00,10925.1475,1,4,1,1,10,-32,0,0,0.0,10061,1
2021-01-01 02:00:00,Monthly Hourly Load Values,02:00:00,03:00:00,10576.82,2,4,1,1,20,-27,0,0,0.0,10064,7
2021-01-01 03:00:00,Monthly Hourly Load Values,03:00:00,04:00:00,10371.1225,3,4,1,1,20,-11,0,0,0.0,10064,8
2021-01-01 04:00:00,Monthly Hourly Load Values,04:00:00,05:00:00,10420.2075,4,4,1,1,20,11,0,0,0.0,10064,8
2021-01-01 05:00:00,Monthly Hourly Load Values,05:00:00,06:00:00,10591.395,5,4,1,1,30,19,0,0,0.0,10066,8
2021-01-01 06:00:00,Monthly Hourly Load Values,06:00:00,07:00:00,10817.5475,6,4,1,1,20,22,0,0,0.0,10070,8
2021-01-01 07:00:00,Monthly Hourly Load Values,07:00:00,08:00:00,11160.6375,7,4,1,1,30,27,0,0,0.0,10073,8
2021-01-01 08:00:00,Monthly Hourly Load Values,08:00:00,09:00:00,11465.86,8,4,1,1,20,31,0,0,6.0,10078,8
2021-01-01 09:00:00,Monthly Hourly Load Values,09:00:00,10:00:00,11624.55,9,4,1,1,20,35,0,0,19.0,10082,8
2021-01-01 10:00:00,Monthly Hourly Load Values,10:00:00,11:00:00,11591.67,10,4,1,1,20,46,0,0,41.0,10083,8
2021-01-01 11:00:00,Monthly Hourly Load Values,11:00:00,12:00:00,11653.475,11,4,1,1,20,50,0,0,67.0,10082,8
2021-01-01 12:00:00,Monthly Hourly Load Values,12:00:00,13:00:00,11789.6375,12,4,1,1,10,54,0,0,31.0,10080,7
2021-01-01 13:00:00,Monthly Hourly Load Values,13:00:00,14:00:00,11993.5025,13,4,1,1,20,56,0,0,20.0,10081,8
2021-01-01 14:00:00,Monthly Hourly Load Values,14:00:00,15:00:00,12445.63,14,4,1,1,30,54,0,0,9.0,10084,8
2021-01-01 15:00:00,Monthly Hourly Load Values,15:00:00,16:00:00,13056.19,15,4,1,1,20,51,0,0,1.0,10088,8
2021-01-01 16:00:00,Monthly Hourly Load Values,16:00:00,17:00:00,14137.975,16,4,1,1,20,49,0,0,0.0,10091,8
2021-01-01 17:00:00,Monthly Hourly Load Values,17:00:00,18:00:00,13839.505,17,4,1,1,20,46,0,0,0.0,10094,8
2021-01-01 18:00:00,Monthly Hourly Load Values,18:00:00,19:00:00,13397.6425,18,4,1,1,20,45,0,0,0.0,10099,8
2021-01-01 19:00:00,Monthly Hourly Load Values,19:00:00,20:00:00,12887.275,19,4,1,1,20,46,0,0,0.0,10103,8
2021-01-01 20:00:00,Monthly Hourly Load Values,20:00:00,21:00:00,12307.1475,20,4,1,1,20,38,0,0,0.0,10106,7
2021-01-01 21:00:00,Monthly Hourly Load Values,21:00:00,22:00:00,11779.5925,21,4,1,1,20,41,0,0,0.0,10109,8
