DateUTC,MeasureItem,DateShort,TimeFrom,TimeTo,CountryCode,Cov_ratio,Value,Value_ScaleTo100,UpdateDate,CreateDate,Hour,DayofWeek,Month,isHoliday?
2021-01-01 00:00:00,Monthly Hourly Load Values,01/01/2021,00:00:00,01:00:00,NL,100,11313.1375,11313.1375,12/04/2023 11:44,,0,4,1,1
2021-01-01 01:00:00,Monthly Hourly Load Values,01/01/2021,01:00:00,02:00:00,NL,100,10925.1475,10925.1475,12/04/2023 11:44,,1,4,1,1
2021-01-01 02:00:00,Monthly Hourly Load Values,01/01/2021,02:00:00,03:00:00,NL,100,10576.82,10576.82,12/04/2023 11:44,,2,4,1,1
2021-01-01 03:00:00,Monthly Hourly Load Values,01/01/2021,03:00:00,04:00:00,NL,100,10371.1225,10371.1225,12/04/2023 11:44,,3,4,1,1
2021-01-01 04:00:00,Monthly Hourly Load Values,01/01/2021,04:00:00,05:00:00,NL,100,10420.2075,10420.2075,12/04/2023 11:44,,4,4,1,1
2021-01-01 05:00:00,Monthly Hourly Load Values,01/01/2021,05:00:00,06:00:00,NL,100,10591.395,10591.395,12/04/2023 11:44,,5,4,1,1
2021-01-01 06:00:00,Monthly Hourly Load Values,01/01/2021,06:00:00,07:00:00,NL,100,10817.5475,10817.5475,12/04/2023 11:44,,6,4,1,1
2021-01-01 07:00:00,Monthly Hourly Load Values,01/01/2021,07:00:00,08:00:00,NL,100,11160.6375,11160.6375,12/04/2023 11:44,,7,4,1,1
2021-01-01 08:00:00,Monthly Hourly Load Values,01/01/2021,08:00:00,09:00:00,NL,100,11465.86,11465.86,12/04/2023 11:44,,8,4,1,1
2021-01-01 09:00:00,Monthly Hourly Load Values,01/01/2021,09:00:00,10:00:00,NL,100,11624.55,11624.55,12/04/2023 11:44,,9,4,1,1
2021-01-01 10:00:00,Monthly Hourly Load Values,01/01/2021,10:00:00,11:00:00,NL,100,11591.67,11591.67,12/04/2023 11:44,,10,4,1,1
2021-01-01 11:00:00,Monthly Hourly Load Values,01/01/2021,11:00:00,12:00:00,NL,100,11653.475,11653.475,12/04/2023 11:44,,11,4,1,1
2021-01-01 12:00:00,Monthly Hourly Load Values,01/01/2021,12:00:00,13:00:00,NL,100,11789.6375,11789.6375,12/04/2023 11:44,,12,4,1,1
2021-01-01 13:00:00,Monthly Hourly Load Values,01/01/2021,13:00:00,14:00:00,NL,100,11993.5025,11993.5025,12/04/2023 11:44,,13,4,1,1
2021-01-01 14:00:00,Monthly Hourly Load Values,01/01/2021,14:00:00,15:00:00,NL,100,12445.63,12445.63,12/04/2023 11:44,,14,4,1,1
2021-01-01 15:00:00,Monthly Hourly Load Values,01/01/2021,15:00:00,16:00:00,NL,100,13056.19,13056.19,12/04/2023 11:44,,15,4,1,1
2021-01-01 16:00:00,Monthly Hourly Load Values,01/01/2021,16:00:00,17:00:00,NL,100,14137.975,14137.975,12/04/2023 11:44,,16,4,1,1
2021-01-01 17:00:00,Monthly Hourly Load Values,01/01/2021,17:00:00,18:00:00,NL,100,13839.505,13839.505,12/04/2023 11:44,,17,4,1,1
2021-01-01 18:00:00,Monthly Hourly Load Values,01/01/2021,18:00:00,19:00:00,NL,100,13397.6425,13397.6425,12/04/2023 11:44,,18,4,1,1
2021-01-01 19:00:00,Monthly Hourly Load Values,01/01/2021,19:00:00,20:00:00,NL,100,12887.275,12887.275,12/04/2023 11:44,,19,4,1,1
2021-01-01 20:00:00,Monthly Hourly Load Values,01/01/2021,20:00:00,21:00:00,NL,100,12307.1475,12307.1475,12/04/2023 11:44,,20,4,1,1
