YYYYMMDD,Hour,WindSpeed,Temperature,PrecipitationAmount,PrecipitationDuration,GlobalRadiation,AirPressure,CloudCover
2021-01-01,1,10,-25,0,0,0.0,10059,0
2021-01-01,2,10,-32,0,0,0.0,10061,1
2021-01-01,3,20,-27,0,0,0.0,10064,7
2021-01-01,4,20,-11,0,0,0.0,10064,8
2021-01-01,5,20,11,0,0,0.0,10064,8
2021-01-01,6,30,19,0,0,0.0,10066,8
2021-01-01,7,20,22,0,0,0.0,10070,8
2021-01-01,8,30,27,0,0,0.0,10073,8
2021-01-01,9,20,31,0,0,6.0,10078,8
2021-01-01,10,20,35,0,0,19.0,10082,8
2021-01-01,11,20,46,0,0,41.0,10083,8
2021-01-01,12,20,50,0,0,67.0,10082,8
2021-01-01,13,10,54,0,0,31.0,10080,7
2021-01-01,14,20,56,0,0,20.0,10081,8
2021-01-01,15,30,54,0,0,9.0,10084,8
2021-01-01,16,20,51,0,0,1.0,10088,8
2021-01-01,17,20,49,0,0,0.0,10091,8
2021-01-01,18,20,46,0,0,0.0,10094,8
2021-01-01,19,20,45,0,0,0.0,10099,8
2021-01-01,20,20,46,0,0,0.0,10103,8
2021-01-01,21,20,38,0,0,0.0,10106,7
2021-01-01,22,20,41,0,0,0.0,10109,8
2021-01-01,23,30,42,0,0,0.0,10111,8
2021-01-01,24,30,45,0,0,0.0,10113,8
2021-01-02,1,30,41,0,0,0.0,10115,8
2021-01-02,2,20,40,0,0,0.0,10118,8
2021-01-02,3,20,37,0,0,0.0,10119,8
2021-01-02,4,20,36,0,0,0.0,10119,8
2021-01-02,5,20,34,0,0,0.0,10120,8
2021-01-02,6,20,33,0,0,0.0,10123,8
2021-01-02,7,20,32,0,0,0.0,10125,8
2021-01-02,8,20,32,0,0,0.0,10131,8
2021-01-02,9,20,33,1,4,4.0,10134,8
2021-01-02,10,30,34,0,0,12.0,10137,8
2021-01-02,11,20,37,0,0,28.0,10137,8
2021-01-02,12,30,37,-1,0,17.0,10135,8
2021-01-02,13,20,37,0,0,18.0,10132,8
2021-01-02,14,10,39,0,0,19.0,10132,8
2021-01-02,15,10,39,0,0,8.0,10136,8
2021-01-02,16,10,39,0,0,1.0,10137,8
2021-01-02,17,20,37,0,0,0.0,10139,8
2021-01-02,18,20,35,0,0,0.0,10142,8
2021-01-02,19,10,37,0,0,0.0,10145,8
2021-01-02,20,10,38,0,0,0.0,10147,8
2021-01-02,21,10,38,1,3,0.0,10147,8
2021-01-02,22,10,36,1,2,0.0,10149,8
2021-01-02,23,10,36,0,0,0.0,10151,8
2021-01-02,24,10,36,0,0,0.0,10153,8
2021-01-03,1,20,32,0,0,0.0,10153,8
2021-01-03,2,20,29,0,0,0.0,10154,8
2021-01-03,3,20,31,0,0,0.0,10154,8
2021-01-03,4,20,31,0,0,0.0,10152,8
2021-01-03,5,30,31,0,0,0.0,10154,8
2021-01-03,6,30,29,0,0,0.0,10156,8
2021-01-03,7,30,29,0,0,0.0,10161,8
2021-01-03,8,20,30,0,0,0.0,10165,8
2021-01-03,9,30,31,0,0,3.0,10170,8
2021-01-03,10,30,35,0,0,15.0,10175,8
2021-01-03,11,40,35,0,0,12.0,10173,8
2021-01-03,12,30,35,0,0,12.0,10170,8
2021-01-03,13,40,39,0,0,20.0,10169,8
2021-01-03,14,40,39,0,0,18.0,10170,7
2021-01-03,15,50,38,0,0,4.0,10171,8
2021-01-03,16,50,36,0,0,0.0,10174,8
2021-01-03,17,40,35,0,0,0.0,10174,8
2021-01-03,18,40,35,0,0,0.0,10175,8
